28874,4144,8288,12432,16576,4144,144,2304,59680,61391,17767
28884,4145,8290,12435,16580,4145,145,10593,59681,61390,17767
28884,4146,8292,12438,16584,4146,146,18884,59682,61389,17767
28895,4147,8294,12441,16588,4147,147,27177,59683,61388,17767
28905,4148,8296,12444,16592,4148,148,35472,59684,61387,17767
28905,4149,8298,12447,16596,4149,149,43769,59685,61386,17767
28916,4150,8300,12450,16600,4150,150,52068,59686,61385,17767
28926,4151,8302,12453,16604,4151,151,60369,59687,61384,17767
28926,4152,8304,12456,16608,4152,152,3136,59688,61383,17767
28937,4153,8306,12459,16612,4153,153,11441,59689,61382,17767
28947,4154,8308,12462,16616,4154,154,19748,59690,61381,17767
28948,4155,8310,12465,16620,4155,155,28057,59691,61380,17767
28958,4156,8312,12468,16624,4156,156,36368,59692,61379,17767
28968,4157,8314,12471,16628,4157,157,44681,59693,61378,17767
28968,4158,8316,12474,16632,4158,158,52996,59694,61377,17767
28979,4159,8318,12477,16636,4159,159,61313,59695,61376,17767
28989,4160,8320,12480,16640,4160,160,4096,59696,61375,17767
29000,4161,8322,12483,16644,4161,161,12417,59697,61374,17767
29000,4162,8324,12486,16648,4162,162,20740,59698,61373,17767
29010,4163,8326,12489,16652,4163,163,29065,59699,61372,17767
29021,4164,8328,12492,16656,4164,164,37392,59700,61371,17767
29021,4165,8330,12495,16660,4165,165,45721,59701,61370,17767
29031,4166,8332,12498,16664,4166,166,54052,59702,61369,17767
29042,4167,8334,12501,16668,4167,167,62385,59703,61368,17767
29042,4168,8336,12504,16672,4168,168,5184,59704,61367,17767
29053,4169,8338,12507,16676,4169,169,13521,59705,61366,17767
29063,4170,8340,12510,16680,4170,170,21860,59706,61365,17767
29063,4171,8342,12513,16684,4171,171,30201,59707,61364,17767
29073,4172,8344,12516,16688,4172,172,38544,59708,61363,17767
29084,4173,8346,12519,16692,4173,173,46889,59709,61362,17767
29084,4174,8348,12522,16696,4174,174,55236,59710,61361,17767
29094,4175,8350,12525,16700,4175,175,63585,59711,61360,17767
29105,4176,8352,12528,16704,4176,176,6400,59712,61359,17767
29105,4177,8354,12531,16708,4177,177,14753,59713,61358,17767
29116,4178,8356,12534,16712,4178,178,23108,59714,61357,17767
29126,4179,8358,12537,16716,4179,179,31465,59715,61356,17767
29136,4180,8360,12540,16720,4180,180,39824,59716,61355,17767
29137,4181,8362,12543,16724,4181,181,48185,59717,61354,17767
29147,4182,8364,12546,16728,4182,182,56548,59718,61353,17767
29157,4183,8366,12549,16732,4183,183,64913,59719,61352,17767
29158,4184,8368,12552,16736,4184,184,7744,59720,61351,17767
29168,4185,8370,12555,16740,4185,185,16113,59721,61350,17767
29179,4186,8372,12558,16744,4186,186,24484,59722,61349,17767
29179,4187,8374,12561,16748,4187,187,32857,59723,61348,17767
29189,4188,8376,12564,16752,4188,188,41232,59724,61347,17767
29200,4189,8378,12567,16756,4189,189,49609,59725,61346,17767
29200,4190,8380,12570,16760,4190,190,57988,59726,61345,17767
29210,4191,8382,12573,16764,4191,191,833,59727,61344,17767
29221,4192,8384,12576,16768,4192,192,9216,59728,61343,17767
29221,4193,8386,12579,16772,4193,193,17601,59729,61342,17767
29231,4194,8388,12582,16776,4194,194,25988,59730,61341,17767
29242,4195,8390,12585,16780,4195,195,34377,59731,61340,17767
29252,4196,8392,12588,16784,4196,196,42768,59732,61339,17767
29252,4197,8394,12591,16788,4197,197,51161,59733,61338,17767
29263,4198,8396,12594,16792,4198,198,59556,59734,61337,17767
29273,4199,8398,12597,16796,4199,199,2417,59735,61336,17767
29273,4200,8400,12600,16800,4200,200,10816,59736,61335,17767
29284,4201,8402,12603,16804,4201,201,19217,59737,61334,17767
29294,4202,8404,12606,16808,4202,202,27620,59738,61333,17767
29294,4203,8406,12609,16812,4203,203,36025,59739,61332,17767
29305,4204,8408,12612,16816,4204,204,44432,59740,61331,17767
29315,4205,8410,12615,16820,4205,205,52841,59741,61330,17767
29315,4206,8412,12618,16824,4206,206,61252,59742,61329,17767
29326,4207,8414,12621,16828,4207,207,4129,59743,61328,17767
29336,4208,8416,12624,16832,4208,208,12544,59744,61327,17767
29336,4209,8418,12627,16836,4209,209,20961,59745,61326,17767
29347,4210,8420,12630,16840,4210,210,29380,59746,61325,17767
29357,4211,8422,12633,16844,4211,211,37801,59747,61324,17767
29357,4212,8424,12636,16848,4212,212,46224,59748,61323,17767
29368,4213,8426,12639,16852,4213,213,54649,59749,61322,17767
